Table 1
Engagement metrics for individual posts. Created date indicates when your post was created. All dates and times are in UTC.,,,,,,,,,,,,,,,,,,,
Post title,Post link,Post type,Campaign name,Posted by,Created date,Campaign start date,Campaign end date,Audience,Impressions,Views,Offsite Views,Clicks,Click through rate (CTR),Likes,Comments,Reposts,Follows,Engagement rate,Content Type
"🗞️ Here's the latest edition of the Posit AI newsletter, your biweekly roundup of AI news from Posit and beyond.

This week's edition includes:

The llama.cpp team joining Hugging Face
A commenting interface for code reviews 
Cloud-hosted vs. local vs. open weights models
And more!

📬 Read the newsletter: https://lnkd.in/g5CEi5PK",https://www.linkedin.com/feed/update/urn:li:activity:7433238223956504576,Organic,,Isabella Velásquez,02/27/2026,,,All followers,3365,,,132,0.0392273403704166,15,0,1,,0.043982170522213,
"We often hear from teams looking for a smoother path from open-source theory to real-world clinical practice. If that resonates with you, I highly recommend exploring the Pharmaverse Examples site. 

Think of it as a hands-on guide for your team that goes beyond standard documentation, showing you exactly how to orchestrate packages like {admiral}, {sdtm.oak}, and {gtsummary} into cohesive, reproducible pipelines. 

It’s a great way to walk through your project from raw EDC intake to final, submission-ready outputs with a bit more clarity and confidence

P.S. While we usually share links directly from the Posit blog, we are experimenting with a new format to make it easier for our community to discover and access the deep-dive content we create. Enjoy! ☺️

#pharmaverse #clinicalreporting #rstats #biostatistics #datascience",https://www.linkedin.com/feed/update/urn:li:activity:7433214310954459136,Organic,,Tyler Minear,02/27/2026,,,All followers,4449,198,,113,0.0253989659249783,40,3,7,,0.0366374477744102,Article
"posit::conf(2026) have arrived, and it is a powerhouse of open-source legends and data pioneers.

We’re bringing together the minds behind the tools you use every single day:
• Wes McKinney: The architect behind pandas and Apache Arrow, currently reimagining analytical computing.
• Christine Y. Zhang: The NYT Graphics Editor who turns complex data into the visual stories we all obsess over (yes, including the ""Needle"").
• Emily Riederer: A leader at Capital One who bridges the gap between data science, engineering, and reproducible workflows.
• Sara Altman & Simon P. Couch: From the Posit AI Core team, showing us how to actually make AI work for us.

But here’s the best part: They aren't just faces on a stage. At posit::conf, the ""hallway track"" is where the magic happens. You’ll find our keynote speakers and our entire roster of session speakers hanging out in the lounge, grabbing coffee, and attending talks right alongside you.

Whether you want to geek out over a specific pull request, snap a photo with your data hero, or get advice on your team's workflow, this is the place to do it. It’s a week of high-level insights and low-ego community.

Space is filling up fast. Join us to learn, connect, and shape the future of data science together.

👉 Register here: pos.it/conf 

#positconf #DataScience #Python #RStats #OpenSource #AI",https://www.linkedin.com/feed/update/urn:li:activity:7433181951139745792,Organic,,Kari Du,02/27/2026,,,All followers,3117,,,306,0.0981713160872459,63,4,12,,0.123516201972961,
"In the high-stakes world of pharmaceutical clinical reporting, moving to open source often feels like a leap into the unknown. We are excited to share the Pharmaverse Examples Site. This library is a comprehensive, interactive resource designed to bridge that gap for biostatisticians and clinical programmers.

✨Pharmaverse Examples Site: https://lnkd.in/gRXksuaa

Transitioning from legacy systems to R or Python requires more than just new code; it requires a validated, integrated workflow. 

While individual packages like {admiral} or {sdtm.oak} offer robust documentation, the Examples Site serves as a ""living book"" that demonstrates how these tools work together, working from raw EDC data to submission-ready outputs.

Here are some more of the awesome things the Pharmaverse Examples Site simplifies in the exploration of open-source clinical reporting:

🛝 A Pre-Loaded Playground: Through integration with Posit Cloud, users can launch a fully configured RStudio environment in seconds. This eliminates the barrier of local software installation, allowing you to run end-to-end clinical scripts immediately.

🔄 Structured Lifecycle Workflows: The site mirrors the standard clinical programming journey. You can explore SDTM mapping via {sdtm.oak}, ADaM derivations using the {admiral} engine, and TLG generation for both static and interactive reporting.

📖 Regulatory Traceability: Beyond code, the resource highlights compliance-ready practices, such as generating execution logs with {logrx} and formatting outputs like XPT files for FDA and EMA submissions.

🩻 Realistic Clinical Data: Users can experiment with synthetic, industry-standard datasets, such as {pharmaversesdtm} and {pharmaverseadam}, to see exactly how treatment start dates or population flags are derived in a reproducible setting.

The Pharmaverse is a collaborative, PHUSE-supported community effort. We invite you to explore these examples, contribute your own workflows via GitHub, and join the conversation on the Pharmaverse Slack!

💻 Pharmaverse Slack: https://lnkd.in/gtJvVGb2

➡️Read our recent blog on Pharmaverse Examples Site written by Ross Farrugia at Roche: https://lnkd.in/gJw6mfm8",https://www.linkedin.com/feed/update/urn:li:activity:7432841124236660736,Organic,,Tyler Minear,02/26/2026,,,All followers,5525,,,99,0.0179185513406992,22,0,5,,0.02280542999506,
"Announcing mirai 2.6.0: Enhanced Parallel and Asynchronous Computing for R

We are pleased to announce the release of mirai 2.6.0, a significant update to R’s framework for parallel and asynchronous computing. This release addresses the common challenge of moving from a local prototype to enterprise-level deployment without rewriting code 💪 

• New HTTP Launcher: A flagship feature that allows you to deploy daemons to cloud and enterprise platforms via HTTP API calls. This includes direct integration with Posit Workbench, where daemons can now be launched as managed jobs with a single function call.
• C-Level Dispatcher: To minimize task overhead, the dispatcher has been re-implemented in C within nanonext. This reduces per-task dispatch latency to the tens of microseconds.
• Efficient Pattern Handling: The introduction of race_mirai() enables ""process-as-completed"" patterns. This allows you to handle results the moment they are ready rather than waiting for the slowest task in a batch to finish.
• Improved Debugging and Sync: A new synchronous mode facilitates interactive debugging using standard tools like browser(), while the .min argument in everywhere() ensures remote daemons are fully synchronized and ready before work begins.

Learn more about mirai 2.6.0 and its capabilities: https://lnkd.in/ggC559Sv",https://www.linkedin.com/feed/update/urn:li:activity:7432442450121768960,Organic,,Isabella Velásquez,02/25/2026,,,All followers,12872,,,385,0.0299098826944828,211,1,10,,0.0471566207706928,
"dplyr 1.2.0 is out now! This large release of dplyr comes with two sets of exciting features:

✔️ filter_out(), the missing complement to filter(), and accompanying when_any() and when_all() helpers.

✔️ recode_values(), replace_values(), and replace_when(), three new functions that join case_when() to create a cohesive family of powerful tools for recoding and replacing.

Cast your vote below and comment your favorite features!",https://www.linkedin.com/feed/update/urn:li:activity:7432141241649373185,Organic,,Isabel Hosley,02/24/2026,,,All followers,16345,,,662,0.0405016839504242,130,6,7,,0.0492505356669426,
"""I feel like working with agents is a lot more productive, but a lot less fun."" 
Charlie Marsh tweeted this and people won't stop quoting it back at him. On The Test Set, he gets into why — and it's not really about fun. It's about the vibe being off. We're in this weird in-between where engineers are stitching together agent outputs, copy-pasting PR comments into Claude Code, and reviewing code they didn't write but are somehow responsible for. It's giving duct tape. Charlie says he's hopeful we'll figure out what building software actually looks like in this new era — but right now? We're not there. He also drops that his opinions on literally all of this are radically different from four months ago, which honestly says everything about how fast this is moving. Full conversation now live.",https://www.linkedin.com/feed/update/urn:li:activity:7432094071000559616,Organic,,Kari Du,02/24/2026,,,All followers,6712,2384,,450,0.0670441016554832,46,1,5,,0.0747914165258408,Video
"Fragmented IDEs create friction you don’t see... until it slows down the entire organization.

Join us for a webinar on March 3 featuring Satish Murthy from Johnson & Johnson as he shares how his team moved from disconnected R and Python workflows to one multilingual platform with Positron.

Enterprise evaluation. Regulated environment. Real adoption story.
If platform standardization is on your roadmap, this is worth your hour.

Secure your spot →
https://lnkd.in/eHTda8cd

#Positron #DataScience #EnterpriseIT #HealthcareTech
",https://www.linkedin.com/feed/update/urn:li:activity:7431811602330431490,Organic,,Allison Davis,02/23/2026,,,All followers,2023,,,39,0.0192782990634441,20,0,2,,0.0301532372832298,
"Heading to Atlanta for CADEx 2026? 🍑

The Posit team (Garrett Grolemund, Philip Bowsher, and Sally (Yang) Hayes) is excited to join the catchment area data community at the Grand Hyatt from March 9–11!

We’re looking forward to three days of talking about how open-source tools can bridge the gap between complex geospatial statistics and the mission of advancing equitable cancer research.

Don’t miss our hands-on workshop:

🗓️ When: Tuesday, March 10 | 8:00 AM – 10:00 AM ET 
🛠️ Topic: AI, R & Shiny for Catchment Area Cancer Surveillance 
💻 The Goal: Build an interactive geospatial app from scratch (no R experience required!) and leave with the model code to use back at your own center.

We’ll also be exploring how to combine Shiny with AI to create chat-based data exploration tools, making it easier than ever to get the insights you need.

Whether you want to talk shop about AI or just share what your team is working on, please stop by and say hello!

See the full agenda and plan your sessions here: 👉 https://lnkd.in/gXufDC7d",https://www.linkedin.com/feed/update/urn:li:activity:7431782414655389696,Organic,,Tyler Minear,02/23/2026,,,All followers,1898,,,27,0.0142255006358027,14,0,3,,0.0231822971254587,
"Data science is better when more voices are heard. We are excited to announce that applications are now open for the posit::conf(2026) Opportunity Scholarship!

We are providing 40 full-support scholarships for members of underrepresented groups to join us this September in Houston, TX. Our goal is to remove the financial barriers to attending posit::conf, so you can focus on building skills, making connections, and being part of the global open-source community.

The scholarship package includes: 
✅ Full conference & workshop registration 
✅ Hotel accommodations 
✅ Travel reimbursement (Domestic & International) 
✅ Exclusive conference swag

Whether you're a student, a career-changer, or a professional looking to grow, your perspective is valuable.

📅 Deadline to apply: March 13, 2026 📍 Conference: Sept 14–16 | Houston, TX

Learn more and apply today: https://lnkd.in/efwe2XKg
#positconf2026 #rstats #pydata #datascience #diversityintech #opensource",https://www.linkedin.com/feed/update/urn:li:activity:7430724343636062208,Organic,,Kari Du,02/20/2026,,,All followers,3281,,,68,0.0207253880798817,34,0,14,,0.0353550761938095,
