Table 1
Aggregated engagement metrics for your organic and sponsored posts over time. Date indicates when your posts were viewed by LinkedIn members. Data is delayed by up to 2 days. All dates and times are in UTC.,,,,,,,,,,,,,,,,,,,
Date,Impressions (organic),Impressions (sponsored),Impressions (total),Unique impressions (organic),Clicks (organic),Clicks (sponsored),Clicks (total),Reactions (organic),Reactions (sponsored),Reactions (total),Comments (organic),Comments (sponsored),Comments (total),Reposts (organic),Reposts (sponsored),Reposts (total),Engagement rate (organic),Engagement rate (sponsored),Engagement rate (total)
03/01/2025,3983,105762,109745,1987,207,726,933,36,27,63,0,0,0,2,0,2,0.0615114235500879,0.00750742232559899,0.00946740170395007
03/02/2025,3606,95699,99305,1764,144,723,867,27,13,40,1,0,1,0,0,0,0.0476982806433722,0.00807740937731847,0.00951613715321484
03/03/2025,12669,96158,108827,7170,485,692,1177,298,17,315,7,0,7,3,0,3,0.0625937327334438,0.00757087293828907,0.0139763110257565
03/04/2025,12048,95250,107298,6541,378,604,982,144,19,163,6,0,6,1,0,1,0.0439077025232404,0.00692913385826772,0.0110812876288468
03/05/2025,8419,102337,110756,4585,227,624,851,97,21,118,2,0,2,0,1,1,0.0387219384725027,0.00653722505056822,0.00898371194337101
03/06/2025,14064,114538,128602,7312,750,742,1492,178,25,203,2,0,2,1,0,1,0.0661973833902161,0.00719411898234647,0.0136467551048973
03/07/2025,8865,119449,128314,4423,429,781,1210,85,31,116,4,0,4,2,0,2,0.0586576424139876,0.00682299558807525,0.010404164783266
03/08/2025,5048,105195,110243,2600,225,791,1016,45,23,68,5,0,5,1,0,1,0.054675118858954,0.00802319501877466,0.0101593751984253
03/09/2025,5000,76721,81721,2536,318,664,982,33,16,49,0,0,0,0,0,0,0.0702,0.00916307138853769,0.0128975416355649
03/10/2025,9885,102950,112835,5248,422,678,1100,157,30,187,2,0,2,1,0,1,0.0588770864946889,0.00759592034968431,0.0120884477334161
03/11/2025,9739,103378,113117,5100,673,661,1334,140,39,179,3,0,3,3,0,3,0.0840948762706643,0.00751610594130279,0.0141092850765137
03/12/2025,11018,82456,93474,5426,561,448,1009,88,39,127,1,0,1,1,2,3,0.0590851334180432,0.00630639371301058,0.0125275477672936
03/13/2025,8809,88928,97737,3814,456,515,971,151,24,175,2,0,2,2,0,2,0.0693608809172437,0.00710687297589061,0.0127178039023093
03/14/2025,10616,95372,105988,4035,614,558,1172,111,39,150,4,0,4,0,0,0,0.0686699321778448,0.00733968040934446,0.0134826584141601
03/15/2025,7848,61125,68973,3009,359,432,791,67,11,78,2,1,3,0,0,0,0.0545361875637105,0.00886707566462168,0.0140634741130587
03/16/2025,5459,66802,72261,2403,314,419,733,29,19,48,0,0,0,0,0,0,0.0628320205165781,0.00857758749738032,0.0126762707407869
03/17/2025,20391,83002,103393,11154,1133,441,1574,606,32,638,19,0,19,7,0,7,0.0865577951056839,0.00762632225729501,0.0231930594914549
03/18/2025,18522,78049,96571,11262,1497,396,1893,542,24,566,8,0,8,5,0,5,0.110787172011662,0.00686748068521057,0.0267989354982345
03/19/2025,23456,51111,74567,11128,906,429,1335,219,11,230,8,0,8,5,0,5,0.0485163710777626,0.0103891530198979,0.0223825552858503
03/20/2025,12805,68628,81433,6862,727,632,1359,246,29,275,6,0,6,1,0,1,0.0765326044513862,0.0113656233607274,0.0216128596514926
03/21/2025,10628,55359,65987,6368,502,624,1126,152,19,171,0,0,0,0,1,1,0.0615355664283026,0.012951823551726,0.020776819676603
03/22/2025,5033,53112,58145,3084,323,506,829,75,16,91,0,0,0,0,0,0,0.079078084641367,0.0112968820605513,0.017163986585261
03/23/2025,4594,43436,48030,2724,239,581,820,43,5,48,0,0,0,0,0,0,0.0613844144536352,0.0143659637167327,0.0188632104934416
03/24/2025,13225,72910,86135,6951,573,837,1410,248,23,271,7,0,7,6,0,6,0.063062381852552,0.0127143053079139,0.0204446508387996
03/25/2025,11684,81872,93556,6292,441,1348,1789,176,28,204,1,0,1,4,2,6,0.0532351934269086,0.0180281414891538,0.0224250716148617
03/26/2025,8415,79079,87494,4249,306,1160,1466,113,42,155,0,0,0,1,1,2,0.0499108734402852,0.0169577258184853,0.0201270944293323
03/27/2025,6596,80453,87049,3378,454,777,1231,83,37,120,4,0,4,0,2,2,0.0820194057004245,0.0123301803537469,0.0176107709450999
03/28/2025,5649,80950,86599,3018,318,652,970,71,27,98,4,0,4,0,0,0,0.0695698353690919,0.0102161828289067,0.0140879224933313
03/29/2025,3879,83131,87010,2038,245,724,969,40,21,61,2,0,2,0,2,2,0.0739881412735241,0.0102970011187162,0.0131364211010229
03/30/2025,5016,79206,84222,2659,262,735,997,46,10,56,0,0,0,0,0,0,0.0614035087719298,0.0107693861576143,0.0137849967941868
03/31/2025,6943,108587,115530,3976,404,808,1212,183,21,204,4,0,4,0,0,0,0.0851217053147055,0.0089237201506626,0.013502986237341
04/01/2025,9314,106457,115771,4764,846,736,1582,126,27,153,6,0,6,0,0,0,0.105003220957698,0.00839775684079018,0.0161698525537483
