New followers: Table 1
Date,Sponsored followers,Organic followers,Auto-invited followers,Total followers
03/01/2025,2,14,0,16
03/02/2025,1,31,0,32
03/03/2025,0,47,0,47
03/04/2025,0,34,0,34
03/05/2025,3,25,0,28
03/06/2025,5,32,0,37
03/07/2025,5,32,0,37
03/08/2025,2,16,0,18
03/09/2025,1,15,0,16
03/10/2025,5,26,0,31
03/11/2025,1,37,0,38
03/12/2025,0,50,0,50
03/13/2025,0,37,0,37
03/14/2025,0,23,0,23
03/15/2025,0,22,0,22
03/16/2025,0,8,0,8
03/17/2025,0,84,0,84
03/18/2025,0,106,0,106
03/19/2025,0,47,0,47
03/20/2025,3,50,0,53
03/21/2025,4,26,0,30
03/22/2025,2,35,0,37
03/23/2025,1,19,0,20
03/24/2025,4,51,0,55
03/25/2025,7,43,0,50
03/26/2025,2,30,0,32
03/27/2025,2,41,0,43
03/28/2025,1,28,0,29
03/29/2025,1,20,0,21
03/30/2025,1,11,0,12
03/31/2025,0,16,0,16
04/01/2025,0,22,0,22
04/02/2025,0,28,0,28
04/03/2025,0,22,0,22
04/04/2025,1,23,0,24
04/05/2025,0,16,0,16
04/06/2025,0,17,0,17
04/07/2025,0,13,0,13
04/08/2025,0,47,0,47
04/09/2025,0,31,0,31
04/10/2025,0,17,0,17
04/11/2025,0,16,0,16
04/12/2025,0,7,0,7
04/13/2025,0,4,0,4
04/14/2025,0,31,0,31
04/15/2025,1,20,0,21
04/16/2025,0,27,0,27
04/17/2025,0,26,0,26
04/18/2025,0,19,0,19
04/19/2025,0,8,0,8
04/20/2025,0,12,0,12
04/21/2025,0,21,0,21
04/22/2025,0,31,0,31
04/23/2025,0,28,0,28
04/24/2025,0,15,0,15
04/25/2025,0,13,0,13
04/26/2025,0,10,0,10
04/27/2025,0,11,0,11
04/28/2025,0,22,0,22
04/29/2025,0,13,0,13
04/30/2025,0,30,0,30
05/01/2025,0,21,0,21
05/02/2025,0,11,0,11
05/03/2025,0,8,0,8
05/04/2025,0,9,0,9
05/05/2025,1,36,0,37
05/06/2025,0,26,0,26
05/07/2025,0,22,0,22
05/08/2025,0,18,0,18
05/09/2025,0,14,0,14
05/10/2025,1,4,0,5
05/11/2025,0,6,0,6
05/12/2025,0,12,0,12
05/13/2025,0,21,0,21
05/14/2025,0,25,0,25
05/15/2025,0,15,0,15
05/16/2025,0,21,0,21
05/17/2025,0,5,0,5
05/18/2025,0,13,0,13
05/19/2025,0,9,0,9
05/20/2025,1,22,0,23
05/21/2025,0,11,0,11
05/22/2025,0,26,0,26
05/23/2025,0,16,0,16
05/24/2025,0,9,0,9
05/25/2025,0,6,0,6
05/26/2025,0,11,0,11
05/27/2025,0,21,0,21
05/28/2025,0,37,0,37
05/29/2025,0,18,0,18
05/30/2025,0,30,0,30
05/31/2025,0,20,0,20
06/01/2025,0,20,0,20
06/02/2025,0,17,0,17
06/03/2025,0,19,0,19
06/04/2025,0,36,0,36
06/05/2025,0,46,0,46
06/06/2025,0,17,0,17
06/07/2025,0,15,0,15
06/08/2025,0,17,0,17
06/09/2025,1,12,0,13
06/10/2025,0,51,0,51
06/11/2025,0,35,0,35
06/12/2025,0,23,0,23
06/13/2025,0,12,0,12
06/14/2025,0,14,0,14
06/15/2025,0,13,0,13
06/16/2025,0,25,0,25
06/17/2025,0,25,0,25
06/18/2025,0,32,0,32
06/19/2025,0,25,0,25
06/20/2025,0,17,0,17
06/21/2025,0,12,0,12
